Type,FSWP-8
Version,3.01
Date,18.May 2026
VSupply,OFF
Mode,Voltage
2,5,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,5,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,5,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,5,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,5,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,6,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,6,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,6,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,6,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,6,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,6,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,7,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,7,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,7,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,7,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,7,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
