Type,FSWP-8
Version,3.01
Date,19.May 2026
VSupply,OFF
Mode,Voltage
55207.7578125000,-134.4592285156
55335.0156250000,-134.5479278564
55462.5664062500,-134.6264190674
55590.4101562500,-134.6901855469
55718.5507812500,-134.7201080322
55847.0468750000,-134.6713714600
55975.7773437500,-134.4109344482
56104.8085937500,-133.9531555176
56234.1328125000,-133.4035034180
56363.7578125000,-133.0063781738
56493.6796875000,-132.9728088379
56623.9023437500,-133.2397155762
56754.4843750000,-133.6794738770
56885.3085937500,-134.0311279297
57016.4335937500,-134.0936737061
57147.8593750000,-133.9727478027
57279.5898437500,-133.8131256104
57411.6210937500,-133.7580566406
57544.0234375000,-133.8408203125
57676.6679687500,-133.9155426025
57809.6171875000,-133.8653869629
57942.8710937500,-133.6208801270
58076.4335937500,-133.3073730469
58210.3046875000,-133.0824279785
58344.4843750000,-133.1089935303
58479.0351562500,-133.3912048340
58613.8320312500,-133.7863769531
58748.9414062500,-134.1080474854
58884.3632812500,-134.2046508789
59020.0937500000,-134.1197509766
59156.1406250000,-134.0286865234
59292.5000000000,-134.0051422119
59429.2382812500,-134.0469207764
59566.2265625000,-134.1465454102
59703.5312500000,-134.2899017334
59841.1523437500,-134.3600921631
59979.0898437500,-134.3794403076
60117.3476562500,-134.3832702637
60255.9882812500,-134.4011688232
60394.8828125000,-134.4465179443
60534.0976562500,-134.4771270752
60673.6328125000,-134.4865875244
60813.4882812500,-134.4688262939
60953.6679687500,-134.4362640381
61094.1718750000,-134.3815307617
61235.0625000000,-134.2755432129
61376.2148437500,-134.1829071045
61517.6914062500,-134.0756988525
61659.4960937500,-133.8363037109
61801.6250000000,-133.5607604980
61944.0820312500,-133.3084411621
62086.9335937500,-133.2616424561
62230.0507812500,-133.4944610596
62373.4960937500,-133.8572387695
62517.2695312500,-134.2474975586
62661.3750000000,-134.4348754883
62805.8164062500,-134.5146179199
62950.5859375000,-134.5868835449
63095.7617187500,-134.6601867676
63241.2031250000,-134.6675415039
63386.9765625000,-134.6089935303
63533.0898437500,-134.4770660400
63679.5390625000,-134.3512878418
63826.3242187500,-134.2913208008
63973.5195312500,-134.2762756348
64120.9804687500,-134.3121337891
64268.7851562500,-134.3821258545
64416.9296875000,-134.4250183105
64565.4140625000,-134.4382934570
64714.2421875000,-134.4294128418
64863.4140625000,-134.4438629150
65013.0000000000,-134.4976043701
65162.8593750000,-134.5682525635
65313.0625000000,-134.5769805908
65463.6132812500,-134.4207916260
65614.5156250000,-134.2651062012
65765.7578125000,-134.1770172119
65917.3515625000,-134.1783905029
66069.3671875000,-134.2171325684
66221.6640625000,-134.1983489990
66374.3125000000,-134.1558532715
66527.3125000000,-134.1066741943
66680.6562500000,-134.0387878418
66834.3593750000,-134.0054779053
66988.4921875000,-134.0789031982
67142.9062500000,-134.1947937012
67297.6796875000,-134.2970733643
67452.8046875000,-134.3420562744
67608.2890625000,-134.3182373047
67764.1250000000,-134.3280181885
67920.3281250000,-134.4006347656
68076.9609375000,-134.4633636475
68233.8906250000,-134.5003509521
68391.1718750000,-134.5137939453
68548.8203125000,-134.5099487305
68706.8281250000,-134.5144348145
68865.2031250000,-134.5308532715
69024.0156250000,-134.5249328613
69183.1250000000,-134.4756317139
69342.5937500000,-134.4364624023
69502.4296875000,-134.4245758057
69662.6406250000,-134.4134521484
69823.2187500000,-134.3170928955
69984.1640625000,-134.1293640137
70145.5625000000,-133.9934997559
70307.2500000000,-134.0305633545
70469.3125000000,-134.1946868896
70631.7500000000,-134.3394317627
70794.5625000000,-134.4026336670
70957.7500000000,-134.4359741211
71121.3906250000,-134.4624633789
71285.3281250000,-134.4683532715
71449.6484375000,-134.4195861816
71614.3437500000,-134.3463287354
71779.4218750000,-134.3369140625
71944.8750000000,-134.3999633789
72110.7187500000,-134.4499053955
72277.0156250000,-134.4205474854
72443.6171875000,-134.3399353027
72610.6093750000,-134.2732543945
72777.9765625000,-134.2538452148
72945.7343750000,-134.2808685303
73113.8828125000,-134.3261260986
73282.4140625000,-134.3424377441
73451.4140625000,-134.3074035645
73620.7265625000,-134.2487335205
73790.4296875000,-134.2123718262
73960.5234375000,-134.2312774658
74131.0078125000,-134.3024597168
74301.8828125000,-134.3808898926
74473.2343750000,-134.4217529297
74644.8984375000,-134.4144287109
74816.9609375000,-134.3890380859
74989.4218750000,-134.3961029053
75162.2734375000,-134.4420623779
75335.5312500000,-134.4943237305
75509.1875000000,-134.5483703613
75683.3203125000,-134.6017761230
75857.7812500000,-134.6107177734
76032.6328125000,-134.5425262451
76207.8984375000,-134.4145965576
76383.5625000000,-134.3920898438
76559.6328125000,-134.4987335205
76736.1875000000,-134.6063232422
76913.0703125000,-134.6070251465
77090.3593750000,-134.5120849609
77268.0625000000,-134.4013519287
77446.1718750000,-134.3367004395
77624.6875000000,-134.3549957275
77803.6171875000,-134.4439697266
77983.0468750000,-134.5204010010
78162.8046875000,-134.4889221191
78342.9765625000,-134.3491821289
78523.5625000000,-134.2041015625
78704.5625000000,-134.0985565186
78885.9843750000,-134.0931243896
79067.8203125000,-134.1764831543
79250.1640625000,-134.2826385498
79432.8437500000,-134.3739471436
79615.9375000000,-134.3848266602
79799.4609375000,-134.3400115967
79983.4062500000,-134.3010864258
80167.7734375000,-134.2978057861
80352.6484375000,-134.3353424072
80537.8671875000,-134.4010009766
80723.5156250000,-134.4321594238
80909.5859375000,-134.4632720947
81096.0937500000,-134.5434570313
81283.0234375000,-134.6614685059
81470.3828125000,-134.7882843018
81658.2734375000,-134.8200988770
81846.5000000000,-134.7781524658
82035.1640625000,-134.7174682617
82224.2578125000,-134.6505432129
82413.7890625000,-134.6244964600
82603.7578125000,-134.6175079346
82794.2578125000,-134.5810394287
82985.1015625000,-134.5322875977
83176.3906250000,-134.5419006348
83368.1171875000,-134.5885772705
83560.2890625000,-134.6610565186
83752.8984375000,-134.7791290283
83945.9609375000,-134.8384094238
84139.5546875000,-134.7566833496
84333.5000000000,-134.5962219238
84527.8906250000,-134.4637603760
84722.7343750000,-134.4928588867
84918.0312500000,-134.5854797363
85113.7734375000,-134.6556091309
85310.0546875000,-134.6330108643
85506.7031250000,-134.5664215088
85703.8046875000,-134.5437316895
85901.3515625000,-134.6144714355
86099.3671875000,-134.6555938721
86297.8281250000,-134.1809539795
86496.7500000000,-131.8074798584
86696.2265625000,-128.7114257813
86896.0703125000,-126.2351989746
87096.3671875000,-126.2001266479
87297.1328125000,-128.1322174072
87498.3593750000,-131.8100891113
87700.0468750000,-134.3814392090
87902.2031250000,-134.3977203369
88104.9218750000,-132.6860504150
88308.0078125000,-130.3250122070
88511.5703125000,-128.4301147461
88715.5937500000,-128.5917358398
88920.0859375000,-130.7910766602
89125.0546875000,-133.4395599365
89330.5937500000,-134.3693847656
89536.5078125000,-134.5585174561
89742.8906250000,-134.5200500488
89949.7578125000,-134.3859252930
90157.1015625000,-134.1771697998
90364.9140625000,-133.8207855225
90573.2109375000,-133.5851745605
90782.0937500000,-133.7866821289
90991.3515625000,-134.0214233398
91201.0937500000,-134.0011291504
91411.3203125000,-134.0405273438
91622.0234375000,-134.1560821533
91833.2187500000,-134.1704406738
92045.0078125000,-134.1303100586
92257.1718750000,-134.0644378662
92469.8359375000,-133.9206848145
92682.9843750000,-133.8266448975
92896.6250000000,-133.9453735352
93110.7578125000,-134.1547088623
93325.3828125000,-134.1932373047
93540.6093750000,-134.0345611572
93756.2265625000,-133.8668975830
93972.3437500000,-133.5556335449
94188.9531250000,-132.0128784180
94406.0703125000,-129.8395690918
94623.6796875000,-128.8845977783
94841.8984375000,-130.1956024170
95060.5156250000,-132.4786529541
95279.6328125000,-133.6417388916
95499.2656250000,-133.6911315918
95719.3984375000,-131.8944396973
95940.0390625000,-128.2068786621
96161.1875000000,-126.6682357788
96382.9453125000,-127.6973190308
96605.1171875000,-130.6844482422
96827.7968750000,-133.2899627686
97050.9921875000,-134.0939788818
97274.7031250000,-134.0998229980
97498.9296875000,-134.0950012207
97723.6718750000,-134.1537322998
97949.0390625000,-134.2147216797
98174.8203125000,-134.2321777344
98401.1171875000,-134.2455139160
98627.9375000000,-134.3005218506
98855.2812500000,-134.3235015869
99083.1484375000,-134.3429260254
99311.6562500000,-134.4665222168
99540.5781250000,-134.5749359131
99770.0234375000,-134.5289154053
100000.0000000000,-134.3396911621
100230.5078125000,-134.3378753662
100461.5468750000,-134.3522186279
100693.1171875000,-134.3828735352
100925.3359375000,-134.4251251221
101157.9687500000,-134.4724121094
101391.1484375000,-134.5183715820
101624.8593750000,-134.5577697754
101859.1171875000,-134.5879669189
102093.9062500000,-134.6091308594
102329.3515625000,-134.6235504150
102565.2265625000,-134.6340789795
102801.6484375000,-134.6425323486
103038.6171875000,-134.6487121582
103276.1250000000,-134.6506195068
103514.1875000000,-134.6455993652
103752.7890625000,-134.6318359375
103992.0625000000,-134.6104125977
104231.7734375000,-134.5852661133
104472.0312500000,-134.5609436035
104712.8515625000,-134.5413208008
104954.2187500000,-134.5283203125
105196.1484375000,-134.5213165283
105438.6328125000,-134.5177459717
105681.7890625000,-134.5142059326
105925.3984375000,-134.5079193115
106169.5625000000,-134.4978942871
106414.2890625000,-134.4852142334
106659.5859375000,-134.4726257324
106905.4375000000,-134.4634857178
107151.9843750000,-134.4604339600
107398.9765625000,-134.4645385742
107646.5390625000,-134.4745483398
107894.6718750000,-134.4870910645
108143.3750000000,-134.4971313477
108392.6562500000,-134.4992370605
108642.5078125000,-134.4892425537
108893.0546875000,-134.4659881592
109144.0625000000,-134.4325103760
109395.6484375000,-134.3957366943
109647.8125000000,-134.3645324707
109900.5546875000,-134.3465576172
110153.8828125000,-134.3453369141
110407.9218750000,-134.3589172363
110662.4140625000,-134.3776092529
110917.5000000000,-134.4010009766
111173.1718750000,-134.4201354980
111429.4375000000,-134.4333343506
111686.2890625000,-134.4428405762
111943.7343750000,-134.4521789551
112201.8984375000,-134.4635009766
112460.5312500000,-134.4762573242
112719.7578125000,-134.4877014160
112979.5859375000,-134.4945678711
113240.0078125000,-134.4945526123
113501.0390625000,-134.4870300293
113762.7890625000,-134.4727172852
114025.0234375000,-134.4530639648
114287.8593750000,-134.4295654297
114551.2968750000,-134.4035491943
114815.3437500000,-134.3764038086
115080.0078125000,-134.3388366699
115345.2734375000,-134.3129119873
115611.2812500000,-134.3100433350
115877.7734375000,-134.3217468262
116144.8750000000,-134.3480529785
116412.6015625000,-134.3856201172
116680.9375000000,-134.4283294678
116949.8984375000,-134.4685974121
117219.4765625000,-134.4994812012
117489.8046875000,-134.5161132813
117760.6250000000,-134.5163116455
118032.0703125000,-134.5000152588
118304.1406250000,-134.4681243896
118576.8437500000,-134.4219512939
118850.1718750000,-134.3638916016
119124.2578125000,-134.2990417480
119398.8515625000,-134.2120056152
119674.0703125000,-134.1647338867
119949.9296875000,-134.1744995117
120226.4218750000,-134.2169647217
120503.5546875000,-134.2845611572
120781.3203125000,-134.3648223877
121059.8671875000,-134.4444732666
121338.9140625000,-134.5128021240
121618.6093750000,-134.5630950928
121898.9531250000,-134.5923156738
122179.9375000000,-134.6006317139
122461.5703125000,-134.5829925537
122743.9843750000,-134.5586853027
123026.9218750000,-134.5570068359
123310.5078125000,-134.5760955811
123594.7421875000,-134.6148834229
123879.6406250000,-134.6635284424
124165.1953125000,-134.7063293457
124451.3984375000,-134.7277526855
124738.4062500000,-134.6990051270
125025.9375000000,-134.6180725098
125314.1328125000,-134.5457458496
125602.9921875000,-134.4721984863
125892.5156250000,-134.4040832520
126182.7031250000,-134.3455505371
126473.7031250000,-134.2996063232
126765.2343750000,-134.2609252930
127057.4375000000,-134.2527465820
127350.3125000000,-134.2632293701
127643.8671875000,-134.2801818848
127938.0937500000,-134.3000793457
128233.0000000000,-134.3219299316
128528.7265625000,-134.3471069336
128824.9921875000,-134.3946838379
129121.9453125000,-134.4465942383
129419.5781250000,-134.4730987549
129717.8984375000,-134.4837951660
130016.9140625000,-134.4751739502
130316.6093750000,-134.4313201904
130617.1406250000,-134.3646545410
130918.2265625000,-134.2894134521
131220.0000000000,-134.1526489258
131522.4687500000,-133.9117736816
131825.6406250000,-133.5437011719
132129.5000000000,-132.8104553223
132434.2187500000,-132.1104431152
132739.4843750000,-131.7878570557
133045.4687500000,-131.6476593018
133352.1406250000,-131.7105102539
133659.5312500000,-132.1673583984
133967.6250000000,-132.8750762939
134276.4218750000,-133.3740386963
134586.0937500000,-133.7931671143
134896.3281250000,-134.1653137207
135207.2656250000,-134.3162231445
135518.9375000000,-134.3318176270
135831.3125000000,-134.3254699707
136144.4062500000,-134.3134155273
136458.3906250000,-134.2956542969
136772.9375000000,-134.2800598145
137088.2031250000,-134.2729797363
137404.2031250000,-134.2713775635
137720.9218750000,-134.2852020264
138038.3906250000,-134.3161163330
138356.5781250000,-134.3450469971
138675.6406250000,-134.3758087158
138995.2968750000,-134.4141998291
139315.7031250000,-134.4331512451
139636.8281250000,-134.4264373779
139958.7031250000,-134.4035186768
140281.3125000000,-134.3454589844
140604.6718750000,-134.2827453613
140928.9375000000,-134.2520599365
141253.7812500000,-134.2360839844
141579.3906250000,-134.2427062988
141905.7343750000,-134.2492828369
142232.8437500000,-134.2477264404
142560.7031250000,-134.2231445313
142889.4687500000,-134.1831512451
143218.8281250000,-134.1539001465
143548.9687500000,-134.1158447266
143879.8593750000,-134.0873870850
144211.5156250000,-134.0770568848
144543.9218750000,-134.0788879395
144877.1093750000,-134.0975036621
145211.2187500000,-134.1140289307
145545.9375000000,-134.1193084717
145881.4375000000,-134.0387725830
146217.7031250000,-133.7694549561
146554.7500000000,-133.3979797363
146892.5625000000,-132.5574340820
147231.3281250000,-131.6320800781
147570.7031250000,-131.0787963867
147910.8593750000,-130.5272979736
148251.8125000000,-130.2878723145
148593.5468750000,-130.2901000977
148936.0625000000,-130.4050598145
149279.3750000000,-130.5658721924
149623.6250000000,-130.8312835693
149968.5312500000,-131.2769622803
150314.2187500000,-131.7069854736
150660.7031250000,-132.4398040771
151007.9843750000,-133.1123809814
151356.0625000000,-133.4107818604
151705.1250000000,-133.6211547852
152054.8125000000,-133.6803894043
152405.3125000000,-133.6762847900
152756.6093750000,-133.6521759033
153108.7187500000,-133.6148376465
153461.6562500000,-133.5603027344
153815.3906250000,-133.4997406006
154170.1093750000,-133.4625854492
154525.4843750000,-133.4224548340
154881.6875000000,-133.4028778076
155238.7031250000,-133.4108428955
155596.5312500000,-133.4364166260
155955.1875000000,-133.4584808350
156314.6875000000,-133.4858398438
156675.1718750000,-133.5067443848
157036.3125000000,-133.5418701172
157398.2968750000,-133.6130523682
157761.1093750000,-133.7376556396
158124.7656250000,-133.8861541748
158489.2500000000,-133.9789123535
158854.7500000000,-134.0722961426
159220.9218750000,-134.1084442139
159587.9375000000,-134.0940551758
159955.7968750000,-134.0743255615
160324.5156250000,-134.0805358887
160694.0625000000,-134.1100311279
161064.4843750000,-134.1492767334
161435.9218750000,-134.1834716797
161808.0468750000,-134.2014617920
162181.0312500000,-134.2225036621
162554.8593750000,-134.2354125977
162929.5625000000,-134.2329864502
163305.1250000000,-134.2197418213
163681.7343750000,-134.2050933838
164059.0312500000,-134.2001953125
164437.2031250000,-134.2134399414
164816.2343750000,-134.2395629883
165196.1562500000,-134.2754974365
165576.9375000000,-134.3168487549
165958.6093750000,-134.3686218262
166341.3437500000,-134.4327392578
166724.7656250000,-134.5066375732
167109.0781250000,-134.5732269287
167494.2812500000,-134.6048126221
167880.3593750000,-134.5961761475
168267.3437500000,-134.5463562012
168655.3906250000,-134.4859619141
169044.1562500000,-134.4445495605
169433.8125000000,-134.4474029541
169824.3750000000,-134.4966735840
170215.8281250000,-134.5726623535
170608.1875000000,-134.6392364502
171001.4531250000,-134.6504669189
171395.8125000000,-134.6030273438
171790.8906250000,-134.5135650635
172186.8750000000,-134.4373168945
172583.7812500000,-134.4207000732
172981.6093750000,-134.4542388916
173380.3437500000,-134.5138092041
173779.9843750000,-134.5719146729
174180.7500000000,-134.5946960449
174582.2500000000,-134.6204528809
174984.6875000000,-134.6613159180
175388.0312500000,-134.7165222168
175792.3125000000,-134.7940063477
176197.5312500000,-134.8542480469
176603.8750000000,-134.9164428711
177010.9531250000,-134.9636535645
177418.9843750000,-134.9508666992
177827.9375000000,-134.8285217285
178237.8437500000,-134.6995697021
178648.7031250000,-134.6126861572
179060.5000000000,-134.5893249512
179473.4375000000,-134.6274719238
179887.1406250000,-134.7047119141
180301.7968750000,-134.7656707764
180717.4062500000,-134.8291625977
181133.9687500000,-134.8984527588
181551.5000000000,-134.9159545898
181970.1875000000,-134.8927307129
182389.6406250000,-134.8423309326
182810.0625000000,-134.8151092529
183231.4531250000,-134.8095703125
183653.8125000000,-134.8196105957
184077.1406250000,-134.8468170166
184501.4531250000,-134.9049224854
184926.9531250000,-134.9615020752
185353.2187500000,-135.0224304199
185780.4687500000,-135.0970764160
186208.7031250000,-135.1475219727
186637.9375000000,-135.1568908691
187068.1406250000,-135.1258544922
187499.3437500000,-135.0364990234
187931.7500000000,-134.9550018311
188364.9531250000,-134.8935699463
188799.1406250000,-134.8723754883
189234.3437500000,-134.9051971436
189670.5312500000,-134.9682769775
190107.7500000000,-135.0542755127
190546.1562500000,-135.1157226563
190985.3906250000,-135.1475677490
191425.6250000000,-135.1729583740
191866.8750000000,-135.1927032471
192309.1406250000,-135.1737823486
192752.4218750000,-135.1311492920
193196.7343750000,-135.0793609619
193642.2812500000,-135.0365295410
194088.6406250000,-135.0414123535
194536.0312500000,-135.0639953613
194984.4375000000,-135.0890350342
195433.8906250000,-135.1198425293
195884.3906250000,-135.1525573730
196336.1250000000,-135.1739959717
196788.7031250000,-135.1694335938
197242.3125000000,-135.0960540771
197696.9687500000,-134.9617004395
198152.6718750000,-134.8549194336
198609.4218750000,-134.8328704834
199067.2343750000,-134.8653106689
199526.3125000000,-134.9333953857
199986.2343750000,-134.9789123535
200447.2187500000,-134.9763946533
200909.2656250000,-134.9427795410
201372.3750000000,-134.8829193115
201836.5625000000,-134.7930603027
202302.0312500000,-134.7323913574
202768.3437500000,-134.7232513428
203235.7343750000,-134.7460632324
203704.2187500000,-134.7675933838
204173.7656250000,-134.7888946533
204644.4062500000,-134.8148498535
205116.1250000000,-134.8223876953
205589.1562500000,-134.8008880615
206063.0468750000,-134.7733306885
206538.0468750000,-134.7243804932
207014.1250000000,-134.5457153320
207491.3125000000,-133.9125213623
207969.5937500000,-132.3430633545
208448.9843750000,-130.6036071777
208929.7031250000,-129.5208892822
209411.2968750000,-129.3282470703
209894.0000000000,-129.7508850098
210377.8281250000,-130.3404846191
210862.7500000000,-131.0125885010
211348.8125000000,-131.9733123779
211836.2187500000,-132.8447265625
212324.5156250000,-133.5772399902
212813.9375000000,-134.1547546387
213304.4843750000,-134.3637084961
213796.1718750000,-134.4425048828
214288.9843750000,-134.4629364014
214782.9375000000,-134.4288787842
215278.2656250000,-134.3536987305
215774.5000000000,-134.2497253418
216271.8750000000,-134.1378631592
216770.3906250000,-134.0377044678
217270.0625000000,-133.9302673340
217770.8906250000,-133.8186950684
218273.1093750000,-133.7964782715
218776.2343750000,-133.9357147217
219280.5312500000,-134.1639099121
219785.9843750000,-134.3419799805
220292.6093750000,-134.4206390381
220800.4062500000,-134.4396972656
221309.3593750000,-134.4353179932
221819.7343750000,-134.4169158936
222331.0468750000,-134.3863372803
222843.5468750000,-134.3474578857
223357.2031250000,-134.3171997070
223872.0625000000,-134.3200378418
224388.1093750000,-134.3479003906
224905.5781250000,-134.3544616699
225424.0000000000,-134.3152618408
225943.6250000000,-134.2527008057
226464.4375000000,-134.1955413818
226986.4531250000,-134.1593933105
227509.6718750000,-134.1531524658
228034.1093750000,-134.1745452881
228559.9843750000,-134.2108154297
229086.8281250000,-134.2458953857
229614.8906250000,-134.2576293945
230144.1718750000,-134.2206268311
230674.6718750000,-134.1888427734
231206.3906250000,-134.2246704102
231739.3437500000,-134.2963562012
232273.7812500000,-134.3553466797
232809.1875000000,-134.3784179688
233345.8281250000,-134.3636932373
233883.7031250000,-134.3190765381
234422.8125000000,-134.2673492432
234963.1875000000,-134.2335968018
235505.0468750000,-134.2037963867
236047.9062500000,-134.0487060547
236592.0156250000,-133.6423034668
237137.3750000000,-133.0276641846
237683.9843750000,-132.5304260254
238231.8750000000,-132.4495086670
238781.0156250000,-132.9664001465
239331.6718750000,-133.7323608398
239883.3593750000,-134.1999816895
240436.2968750000,-134.4423828125
240990.5312500000,-134.5035400391
241546.0312500000,-134.4608459473
242102.8125000000,-134.3771667480
242661.1406250000,-134.3423614502
243220.4843750000,-134.3623504639
243781.1250000000,-134.3621368408
244343.0625000000,-134.2223510742
244906.2968750000,-133.6069793701
245470.8125000000,-132.5090484619
246036.6406250000,-131.5448608398
246604.0468750000,-130.9443664551
247172.4843750000,-131.0539245605
247742.2343750000,-131.9326477051
248313.2968750000,-132.8829345703
248885.6718750000,-133.6838684082
249459.3750000000,-134.2790222168
250034.4062500000,-134.5435485840
250611.0156250000,-134.6016235352
251188.7031250000,-134.5996246338
251767.7031250000,-133.8725738525
252348.0468750000,-131.2709045410
252929.7343750000,-128.5391082764
253512.7500000000,-126.4973144531
254097.3906250000,-126.4742431641
254683.1093750000,-128.0696868896
255270.1718750000,-130.7131500244
255858.5781250000,-133.6864013672
256448.3593750000,-134.7506866455
257039.4843750000,-134.7205963135
257631.9843750000,-134.6381072998
258226.1250000000,-134.6490936279
258821.3593750000,-134.6672058105
259417.9531250000,-134.6275634766
260015.9375000000,-134.6163330078
260615.2812500000,-134.7015686035
261216.0312500000,-134.8218841553
261818.4375000000,-134.8145141602
262421.9375000000,-134.7200317383
263026.8437500000,-134.7058410645
263633.1562500000,-134.7686157227
264240.8437500000,-134.8290252686
264849.9375000000,-134.8449707031
265460.4375000000,-134.8783111572
266072.6250000000,-134.9433746338
266685.9375000000,-134.9716949463
267300.6562500000,-134.6963195801
267916.8125000000,-133.4362182617
268534.3750000000,-130.7363281250
269153.3750000000,-128.2180938721
269774.0937500000,-126.9246139526
270395.9375000000,-127.0151443481
271019.2187500000,-127.8496322632
271643.9375000000,-128.9958953857
272270.0937500000,-130.2801361084
272897.6875000000,-132.1423339844
273526.7500000000,-133.9368743896
274157.5312500000,-134.5622863770
274789.5000000000,-134.6091308594
275422.9062500000,-134.5176086426
276057.7812500000,-134.4800872803
276694.0937500000,-134.5709075928
277331.9062500000,-134.6789703369
277971.1875000000,-134.6911010742
278612.2187500000,-134.6380615234
279254.4375000000,-134.5722656250
279898.1562500000,-134.5437469482
280543.3437500000,-134.5782012939
281190.0000000000,-134.6167449951
281838.1562500000,-134.6308135986
282488.1250000000,-134.6606445313
283139.2812500000,-134.6763153076
283791.9375000000,-134.6518249512
284446.0937500000,-134.5975646973
285101.7812500000,-134.5254821777
285758.9687500000,-134.5008087158
286417.6562500000,-134.5793762207
287078.1875000000,-134.7260894775
287739.9062500000,-134.8027343750
288403.1875000000,-134.7888336182
289067.9687500000,-134.5269165039
289734.2812500000,-132.2041473389
290402.1562500000,-126.8751220703
291071.8750000000,-123.6380462646
291742.8125000000,-122.7065734863
292415.2812500000,-124.6043624878
293089.3437500000,-128.6423492432
293764.9062500000,-132.7865447998
294442.0625000000,-134.4582366943
295120.7812500000,-134.4845428467
295801.3750000000,-134.5136718750
296483.2187500000,-134.5768737793
297166.6250000000,-134.6335296631
297851.6250000000,-134.6963043213
298538.1875000000,-134.6954956055
299226.3437500000,-134.5873718262
299916.4062500000,-134.4289703369
300607.7500000000,-134.3519897461
301300.6562500000,-134.3441467285
301995.1875000000,-134.3416595459
302691.3125000000,-134.3485260010
303389.0312500000,-134.3661346436
304088.3750000000,-134.3943023682
304789.6562500000,-134.4313812256
305492.2187500000,-134.4738616943
306196.3750000000,-134.5163574219
306902.1875000000,-134.5516357422
307609.6250000000,-134.5714874268
308318.6875000000,-134.5681304932
309029.3750000000,-134.5350189209
309742.0625000000,-134.4644927979
310456.0312500000,-134.3364257813
311171.6562500000,-134.1095428467
311888.9375000000,-133.7079467773
312607.8437500000,-133.0495605469
313328.4375000000,-132.1065368652
314051.0312500000,-130.9446258545
314774.9375000000,-129.6998901367
315500.5000000000,-128.5169830322
316227.7812500000,-127.5100784302
316956.6875000000,-126.7533798218
317687.3125000000,-126.2889556885
318419.5937500000,-126.1377105713
319153.9375000000,-126.3057785034
319889.5937500000,-126.7846832275
320626.9687500000,-127.5457534790
321366.0312500000,-128.5236968994
322106.8125000000,-129.5906219482
322849.2812500000,-130.5376892090
323593.8125000000,-131.1212768555
324339.7187500000,-131.2130126953
325087.3750000000,-130.9165344238
325836.7187500000,-130.4666442871
326587.7812500000,-130.0640106201
327340.5937500000,-129.8231353760
328095.1250000000,-129.7915344238
328851.7812500000,-129.9731597900
329609.8125000000,-130.3387756348
330369.5937500000,-130.8306579590
331131.0937500000,-131.3675994873
331894.3750000000,-131.8528747559
332659.4375000000,-132.2342071533
333426.2187500000,-132.4722900391
334195.1562500000,-132.5787506104
334965.5000000000,-132.5863342285
335737.6250000000,-132.5283050537
336511.5312500000,-132.4292297363
337287.2187500000,-132.3048400879
338064.6875000000,-132.1646575928
338844.3125000000,-132.0139007568
339625.3750000000,-131.8544769287
340408.2500000000,-131.6860961914
341192.9062500000,-131.5081634521
341979.3750000000,-131.3227844238
342767.6562500000,-131.1374816895
343557.7812500000,-130.9661102295
344350.0625000000,-130.8269958496
345143.8125000000,-130.7389526367
345939.4062500000,-130.7167205811
346736.8125000000,-130.7673950195
347536.0625000000,-130.9781799316
348337.1562500000,-131.2921447754
349140.5000000000,-131.5362548828
349945.2812500000,-131.7830200195
350751.9375000000,-132.0183105469
351560.4375000000,-132.2335968018
352370.8125000000,-132.4251861572
353183.0625000000,-132.5924682617
353997.1562500000,-132.7365570068
354813.5312500000,-132.8591156006
355631.4062500000,-132.9616851807
356451.1562500000,-133.0453796387
357272.8125000000,-133.1111755371
358096.3437500000,-133.1612548828
358921.7812500000,-133.2001800537
359749.5312500000,-133.2547302246
360578.7812500000,-133.3254089355
361409.9375000000,-133.3918304443
362243.0000000000,-133.4733123779
363078.0000000000,-133.5660247803
363914.9375000000,-133.6645660400
364753.7812500000,-133.7636566162
365594.9687500000,-133.8592376709
366437.6875000000,-133.9486389160
367282.3437500000,-134.0303802490
368128.9687500000,-134.1354370117
368977.5312500000,-134.2216949463
369828.0312500000,-134.2663879395
370680.5312500000,-134.3036041260
371535.3750000000,-134.3374328613
372391.7812500000,-134.3732147217
373250.1875000000,-134.4155731201
374110.5625000000,-134.4663085938
374972.9062500000,-134.5522613525
375837.2500000000,-134.6341857910
376703.9687500000,-134.6769256592
377572.3125000000,-134.7080383301
378442.6562500000,-134.7294158936
379314.9687500000,-134.7453918457
380189.3437500000,-134.7611541748
381065.6875000000,-134.7947387695
381944.0625000000,-134.8425598145
382824.9062500000,-134.8815307617
383707.3437500000,-134.9200592041
384591.8125000000,-134.9498596191
385478.3125000000,-134.9580383301
386366.8750000000,-134.8729553223
387257.5000000000,-134.6197509766
388150.5625000000,-134.3003997803
389045.2812500000,-133.8751220703
389942.0625000000,-133.3898162842
390840.9062500000,-132.9127044678
391741.8125000000,-132.3783569336
392644.8125000000,-132.1463317871
393549.8750000000,-132.2184753418
394457.4687500000,-132.4458465576
395366.7187500000,-132.7848052979
396278.0937500000,-133.3432006836
397191.5312500000,-133.7898712158
398107.0937500000,-133.9463958740
399024.7500000000,-134.0182189941
399944.9687500000,-134.0535278320
400866.8750000000,-134.1356353760
401790.9062500000,-134.2867431641
402717.0625000000,-134.4183959961
403645.3437500000,-134.5463714600
404575.7812500000,-134.6521759033
405508.3437500000,-134.7575836182
406443.5312500000,-134.8332519531
407380.4062500000,-134.8846282959
408319.4375000000,-134.9460906982
409260.6562500000,-135.0570983887
410204.0312500000,-135.1781616211
